index,auc,auc_rnn,ratio,increase
114,0.8344,0.7008,1.1906392694063928,0.19063926940639275
115,0.8336,0.7765,1.0735350933676755,0.0735350933676755
116,0.7863,0.7608,1.0335173501577286,0.03351735015772861
117,0.8647,0.6684,1.2936864153201677,0.2936864153201677
118,0.9162,0.6836,1.3402574605032183,0.34025746050321826
119,0.8262,0.7387,1.118451333423582,0.11845133342358194
120,0.8735,0.7584,1.151766877637131,0.15176687763713104
121,0.8745,0.7464,1.1716237942122187,0.17162379421221874
122,0.8737,0.7913,1.1041324402881334,0.1041324402881334
123,0.8192,0.8022,1.0211917227624034,0.021191722762403442
124,0.849,0.8214,1.0336011687363038,0.03360116873630381
125,0.8711,0.7907,1.1016820538763121,0.10168205387631213
126,0.8986,0.7775,1.1557556270096463,0.1557556270096463
127,0.8613,0.7304,1.1792168674698793,0.1792168674698793
128,0.8227,0.7699,1.0685803351084555,0.06858033510845551
129,0.8742,0.7742,1.1291655902867477,0.12916559028674768
130,0.8886,0.7304,1.2165936473165386,0.21659364731653863
131,0.8531,0.7486,1.1395939086294415,0.13959390862944154
132,0.9074,0.7356,1.2335508428493747,0.23355084284937466
133,0.8682,0.6707,1.294468465782019,0.2944684657820189
134,0.8513,0.7197,1.1828539669306655,0.18285396693066547
135,0.8225,0.7698,1.0684593400883347,0.06845934008833465
136,0.8775,0.7598,1.1549091866280599,0.15490918662805986
137,0.8617,0.7542,1.1425351365685494,0.14253513656854944
138,0.844,0.7651,1.1031237746699778,0.1031237746699778
139,0.7988,0.8116,0.984228684080828,-0.015771315919172024
140,0.8991,0.8155,1.1025137952176578,0.1025137952176578
141,0.8839,0.7457,1.1853292208663,0.1853292208663
142,0.8979,0.7822,1.147916133981079,0.14791613398107906
143,0.865,0.7963,1.086274017330152,0.08627401733015194
144,0.8596,0.7643,1.1246892581447077,0.12468925814470766
145,0.9592,0.764,1.255497382198953,0.255497382198953
146,0.8511,0.7496,1.1354055496264674,0.13540554962646745
147,0.8016,0.7933,1.01046262448002,0.01046262448002011
148,0.7883,0.7422,1.0621126381029373,0.06211263810293732
149,0.8766,0.7689,1.1400702301989856,0.14007023019898557
150,0.9749,0.5517,1.767083559905746,0.767083559905746
151,0.9149,0.4818,1.8989207139892073,0.8989207139892073
152,0.9057,0.6876,1.3171902268760907,0.31719022687609066
153,0.9524,0.7209,1.3211263698155085,0.32112636981550846
154,0.9898,0.7227,1.3695862736958628,0.36958627369586283
155,0.8767,0.74,1.18472972972973,0.1847297297297299
156,0.9527,0.5464,1.7435944363103952,0.7435944363103952
157,0.933,0.5756,1.6209173036831133,0.6209173036831133
158,0.9162,0.6746,1.3581381559442633,0.35813815594426335
159,0.9453,0.8,1.181625,0.18162499999999993
160,0.9744,0.7927,1.2292166014885835,0.22921660148858347
161,0.8709,0.7786,1.118546108399692,0.11854610839969193
162,0.9549,0.4848,1.969678217821782,0.969678217821782
163,0.9404,0.6055,1.5530966143682905,0.5530966143682905
